"feedback" "material" "age" "words"
1 1 1 7
1 1 1 7
1 1 1 9
1 1 1 10
1 1 1 9
1 2 1 7
1 2 1 8
1 2 1 9
1 2 1 10
1 2 1 10
1 3 1 7
1 3 1 7
1 3 1 10
1 3 1 7
1 3 1 9
1 1 2 10
1 1 2 8
1 1 2 9
1 1 2 7
1 1 2 8
1 2 2 7
1 2 2 8
1 2 2 9
1 2 2 9
1 2 2 11
1 3 2 6
1 3 2 7
1 3 2 8
1 3 2 9
1 3 2 9
2 1 1 6
2 1 1 8
2 1 1 7
2 1 1 9
2 1 1 9
2 2 1 6
2 2 1 8
2 2 1 8
2 2 1 9
2 2 1 9
2 3 1 3
2 3 1 5
2 3 1 3
2 3 1 6
2 3 1 5
2 1 2 6
2 1 2 9
2 1 2 8
2 1 2 7
2 1 2 10
2 2 2 6
2 2 2 7
2 2 2 9
2 2 2 9
2 2 2 10
2 3 2 6
2 3 2 8
2 3 2 6
2 3 2 9
2 3 2 8
3 1 1 10
3 1 1 8
3 1 1 8
3 1 1 6
3 1 1 8
3 2 1 7
3 2 1 7
3 2 1 6
3 2 1 9
3 2 1 9
3 3 1 2
3 3 1 3
3 3 1 4
3 3 1 5
3 3 1 5
3 1 2 9
3 1 2 10
3 1 2 7
3 1 2 7
3 1 2 9
3 2 2 8
3 2 2 8
3 2 2 6
3 2 2 9
3 2 2 9
3 3 2 6
3 3 2 5
3 3 2 7
3 3 2 8
3 3 2 9
