"id" "course" "nweeks" "error"
1 "No" 2 66.52
2 "No" 4 22.1
3 "No" 6 18.48
4 "No" 8 8.08
5 "No" 10 22.69
6 "Yes" 2 11.88
7 "Yes" 4 15.07
8 "Yes" 6 10.57
9 "Yes" 8 7.53
10 "Yes" 10 10.16
11 "No" 2 53.81
12 "No" 4 21.25
13 "No" 6 19.93
14 "No" 8 9.48
15 "No" 10 7.78
16 "Yes" 2 11.02
17 "Yes" 4 14.2
18 "Yes" 6 9.5
19 "Yes" 8 3.75
20 "Yes" 10 12.16
21 "No" 2 64.03
22 "No" 4 29.63
23 "No" 6 14.42
24 "No" 8 21.57
25 "No" 10 6.21
26 "Yes" 2 10.26
27 "Yes" 4 17.27
28 "Yes" 6 12.96
29 "Yes" 8 10.12
30 "Yes" 10 16.1
31 "No" 2 54.35
32 "No" 4 19.32
33 "No" 6 14.8
34 "No" 8 13.12
35 "No" 10 16.33
36 "Yes" 2 8.92
37 "Yes" 4 18.42
38 "Yes" 6 9.28
39 "Yes" 8 15.95
40 "Yes" 10 9.32
41 "No" 2 50.7
42 "No" 4 10.84
43 "No" 6 14.45
44 "No" 8 16.77
45 "No" 10 13.5
46 "Yes" 2 12.65
47 "Yes" 4 16.83
48 "Yes" 6 6.38
49 "Yes" 8 16.89
50 "Yes" 10 2.74
51 "No" 2 59.24
52 "No" 4 22.22
53 "No" 6 10.36
54 "No" 8 14.23
55 "No" 10 7.3
56 "Yes" 2 14.52
57 "Yes" 4 8.21
58 "Yes" 6 14.82
59 "Yes" 8 10.73
60 "Yes" 10 19.64
61 "No" 2 55.77
62 "No" 4 30.53
63 "No" 6 11.39
64 "No" 8 12.13
65 "No" 10 12.4
66 "Yes" 2 10.89
67 "Yes" 4 14.87
68 "Yes" 6 3.32
69 "Yes" 8 14.4
70 "Yes" 10 14.31
71 "No" 2 59.24
72 "No" 4 24.2
73 "No" 6 11.19
74 "No" 8 10.81
75 "No" 10 14.37
76 "Yes" 2 18.6
77 "Yes" 4 19.4
78 "Yes" 6 6.03
79 "Yes" 8 6.3
80 "Yes" 10 13.99
81 "No" 2 64.39
82 "No" 4 17.53
83 "No" 6 13.36
84 "No" 8 12.89
85 "No" 10 15.18
86 "Yes" 2 19.48
87 "Yes" 4 10.46
88 "Yes" 6 10.44
89 "Yes" 8 15.71
90 "Yes" 10 5.01
91 "No" 2 57.24
92 "No" 4 30
93 "No" 6 13.4
94 "No" 8 6.94
95 "No" 10 9.24
96 "Yes" 2 10.24
97 "Yes" 4 0.08
98 "Yes" 6 6.87
99 "Yes" 8 9.62
100 "Yes" 10 16.49
